2025-01-30 22:33:25.450 | INFO     | utils.utils_logger:<module>:38 - Logging to file: logs\project_log.log
2025-01-30 22:33:25.529 | INFO     | __main__:main:50 - START producer.
2025-01-30 22:33:25.556 | INFO     | utils.utils_producer:get_zookeeper_address:57 - Zookeeper address: localhost:2181
2025-01-30 22:33:25.587 | INFO     | utils.utils_producer:check_zookeeper_service_is_ready:79 - Zookeeper is ready at localhost:2181.
2025-01-30 22:33:25.592 | INFO     | utils.utils_producer:get_kafka_broker_address:50 - Kafka broker address: localhost:9092
2025-01-30 22:33:26.010 | INFO     | utils.utils_producer:check_kafka_service_is_ready:98 - Kafka is ready. Brokers: {'throttle_time_ms': 0, 'brokers': [{'node_id': 1001, 'host': 'localhost', 'port': 9092, 'rack': None}], 'cluster_id': 'FHjRQQQ7TyGPjLRKVbC0Kg', 'controller_id': 1001}
2025-01-30 22:33:26.012 | INFO     | __main__:get_kafka_topic:18 - Kafka topic: buzzline_json
2025-01-30 22:33:26.012 | INFO     | __main__:get_message_interval:23 - Message interval: 1 seconds
2025-01-30 22:33:26.013 | INFO     | utils.utils_producer:get_kafka_broker_address:50 - Kafka broker address: localhost:9092
2025-01-30 22:33:26.014 | INFO     | utils.utils_producer:create_kafka_producer:146 - Connecting to Kafka broker at localhost:9092...
2025-01-30 22:33:26.124 | INFO     | utils.utils_producer:create_kafka_producer:151 - Kafka producer successfully created.
2025-01-30 22:33:26.125 | INFO     | utils.utils_producer:get_kafka_broker_address:50 - Kafka broker address: localhost:9092
2025-01-30 22:33:26.472 | INFO     | utils.utils_producer:create_kafka_topic:172 - Topic 'buzzline_json' already exists. Clearing it out...
2025-01-30 22:33:26.473 | INFO     | utils.utils_producer:get_kafka_broker_address:50 - Kafka broker address: localhost:9092
2025-01-30 22:33:26.844 | ERROR    | utils.utils_producer:clear_kafka_topic:235 - Error managing retention for topic 'buzzline_json': list indices must be integers or slices, not ConfigResource
2025-01-30 22:33:26.846 | INFO     | __main__:main:70 - Starting message production to topic 'buzzline_json'...
2025-01-30 22:33:26.865 | INFO     | __main__:main:81 - Sent message 1 to topic 'buzzline_json' in 0.0020 sec: {'message': 'Data engineering is my passion.', 'author': 'Eve'}
2025-01-30 22:33:27.866 | INFO     | __main__:main:81 - Sent message 2 to topic 'buzzline_json' in 0.0000 sec: {'message': 'Distributed systems are fascinating.', 'author': 'Alice'}
2025-01-30 22:33:28.869 | INFO     | __main__:main:81 - Sent message 3 to topic 'buzzline_json' in 0.0000 sec: {'message': 'Have a great day!', 'author': 'Charlie'}
